Midland Bank, Ltd.	/ˈmɪdlənd bæŋk, ˈlɪmɪtɪd/	米兰银行(米特兰银行)
Pareto improvement	/pəˈreɪtoʊ ɪmˈpruːvmənt/	帕累托改进
Pareto optimality	/pəˈreɪtoʊ ˌɒptɪˈmælɪti/	帕累托优化
Pareto set	/pəˈreɪtoʊ sɛt/	帕累托集
partial derivative	/ˈpɑːrʃəl dɪˈrɪvətɪv/	偏导数
partial equilibrium	/ˈpɑːrʃəl ˌiːkwɪˈlɪbriəm/	局部均衡
patent	/ˈpætənt/	专利
pay off matrix	/peɪ ɒf ˈmeɪtrɪks/	收益矩阵、支付矩阵
perceived demand curve	/pərˈsiːvd dɪˈmɑːnd kɜːrv/	感觉到的需求曲线
perfect competition	/ˈpɜːrfɪkt ˌkɒmpəˈtɪʃən/	完全竞争
perfect complement	/ˈpɜːrfɪkt ˈkɒmplɪmənt/	完全互补品
perfect monopoly	/ˈpɜːrfɪkt məˈnɒpəli/	完全垄断
perfect price discrimination	/ˈpɜːrfɪkt praɪs dɪˌskrɪmɪˈneɪʃən/	完全价格歧视
perfect substitution	/ˈpɜːrfɪkt ˌsʌbstɪˈtjuːʃən/	完全替代品
perfect inelasticity	/ˈpɜːrfɪkt ˌɪnɪlæsˈtɪsɪti/	完全无弹性
perfectly elastic	/ˈpɜːrfɪktli ɪˈlæstɪk/	完全有弹性
perfectly inelastic	/ˈpɜːrfɪktli ˌɪnɪˈlæstɪk/	完全无弹性
plant size	/plænt saɪz/	工厂规模
point elasticity	/pɔɪnt ˌiːlæsˈtɪsɪti/	点弹性
positive economics	/ˈpɒzɪtɪv ˌiːkəˈnɒmɪks/	实证经济学
post Hoc Fallacy	/poʊst hɒk ˈfæləsi/	后此谬误
prediction	/prɪˈdɪkʃən/	预测
preference	/ˈprɛfərəns/	偏好
preference relation	/ˈprɛfərəns rɪˈleɪʃən/	偏好关系
present value	/ˈprɛzənt ˈvæljuː/	现值
price	/praɪs/	价格
price adjustment model	/praɪs əˈdʒʌstmənt ˈmɒdəl/	价格调整模型
price ceiling	/praɪs ˈsiːlɪŋ/	最高限价
price consumption curve	/praɪs kənˈsʌmpʃən kɜːrv/	价格消费曲线
price control	/praɪs kənˈtroʊl/	价格管制
price difference	/praɪs ˈdɪfərəns/	价格差别
price discrimination	/praɪs dɪˌskrɪmɪˈneɪʃən/	价格歧视
price elasticity of demand	/praɪs ˌiːlæsˈtɪsɪti əv dɪˈmɑːnd/	需求价格弹性
price elasticity of supply	/praɪs ˌiːlæsˈtɪsɪti əv səˈplaɪ/	供给价格弹性
price floor	/praɪs flɔːr/	最低限价
price maker	/praɪs ˈmeɪkər/	价格制定者
price rigidity	/praɪs rɪˈdʒɪdɪti/	价格刚性
price seeker	/praɪs ˈsiːkər/	价格搜求者
price taker	/praɪs ˈteɪkər/	价格接受者
price tax	/praɪs tæks/	从价税
private benefit	/ˈpraɪvɪt ˈbɛnɪfɪt/	私人收益
principal-agent issues	/ˈprɪnsəpəl ˈeɪdʒənt ˈɪʃuːz/	委托--代理问题
private cost	/ˈpraɪvɪt kɒst/	私人成本
private goods	/ˈpraɪvɪt ɡʊdz/	私人用品
private property	/ˈpraɪvɪt ˈprɒpərti/	私人财产
producer equilibrium	/prəˈduːsər ˌiːkwɪˈlɪbriəm/	生产者均衡
producer theory	/prəˈduːsər ˈθɪəri/	生产者理论
product	/ˈprɒdʌkt/	产品
product transformation curve	/ˈprɒdʌkt ˌtrænsfərˈmeɪʃən kɜːrv/	产品转换曲线
product differentiation	/ˈprɒdʌkt ˌdɪfərɛnʃiˈeɪʃən/	产品差异
product group	/ˈprɒdʌkt ɡruːp/	产品集团
production	/prəˈdʌkʃən/	生产
production contract curve	/prəˈdʌkʃən ˈkɒntrækt kɜːrv/	生产契约曲线
production efficiency	/prəˈdʌkʃən ɪˈfɪʃənsi/	生产效率
production function	/prəˈdʌkʃən ˈfʌŋkʃən/	生产函数
production possibility curve	/prəˈdʌkʃən ˌpɒsɪˈbɪlɪti kɜːrv/	生产可能性曲线
productivity	/ˌproʊdʌkˈtɪvɪti/	生产率
productivity of capital	/ˌproʊdʌkˈtɪvɪti əv ˈkæpɪtəl/	资本生产率
productivity of labor	/ˌproʊdʌkˈtɪvɪti əv ˈleɪbər/	劳动生产率
profit	/ˈprɒfɪt/	利润
profit function	/ˈprɒfɪt ˈfʌŋkʃən/	利润函数
profit maximization	/ˈprɒfɪt ˌmæksɪmaɪˈzeɪʃən/	利润极大化
property rights	/ˈprɒpərti raɪts/	产权
property rights economics	/ˈprɒpərti raɪts ˌiːkəˈnɒmɪks/	产权经济学
proposition	/ˌprɒpəˈzɪʃən/	定理
proportional demand curve	/prəˈpɔːrʃənəl dɪˈmɑːnd kɜːrv/	成比例的需求曲线
public benefits	/ˈpʌblɪk ˈbɛnɪfɪts/	公共收益
public choice	/ˈpʌblɪk tʃɔɪs/	公共选择
public goods	/ˈpʌblɪk ɡʊdz/	公共商品
pure competition	/pjʊər ˌkɒmpəˈtɪʃən/	纯粹竞争
rivalry	/ˈraɪvəlri/	对抗性、竞争
pure exchange	/pjʊər ɪksˈtʃeɪndʒ/	纯交换
pure monopoly	/pjʊər məˈnɒpəli/	纯粹垄断
quantity-adjustment model	/ˈkwɒntɪti əˈdʒʌstmənt ˈmɒdəl/	数量调整模型
quantity tax	/ˈkwɒntɪti tæks/	从量税
quasi-rent	/ˈkweɪzaɪ rɛnt/	准租金
rate of product transformation	/reɪt əv ˈprɒdʌkt ˌtrænsfərˈmeɪʃən/	产品转换率
rationality	/ˌræʃəˈnæləti/	理性
reaction function	/riˈækʃən ˈfʌŋkʃən/	反应函数
regulation	/ˌrɛɡjuˈleɪʃən/	调节，调控
relative price	/ˈrɛlətɪv praɪs/	相对价格
rent	/rɛnt/	租金
rent control	/rɛnt kənˈtroʊl/	租金管制
rent seeking	/rɛnt ˈsiːkɪŋ/	寻租
rent seeking economics	/rɛnt ˈsiːkɪŋ ˌiːkəˈnɒmɪks/	寻租经济学
resource	/ˈriːsɔːrs/	资源
resource allocation	/ˈriːsɔːrs ˌæləˈkeɪʃən/	资源配置
returns	/rɪˈtɜːrnz/	报酬、回报
returns to scale	/rɪˈtɜːrnz tu skeɪl/	规模报酬
revealed preference	/rɪˈviːld ˈprɛfərəns/	显示性偏好
revenue	/ˈrɛvənjuː/	收益
revenue curve	/ˈrɛvənjuː kɜːrv/	收益曲线
revenue function	/ˈrɛvənjuː ˈfʌŋkʃən/	收益函数
revenue maximization	/ˈrɛvənjuː ˌmæksɪmaɪˈzeɪʃən/	收益极大化
ridge line	/rɪdʒ laɪn/	脊线
risk	/rɪsk/	风险
satiation	/ˌseɪʃiˈeɪʃən/	饱和，满足
saving	/ˈseɪvɪŋ/	储蓄
scarcity	/ˈskɛərsɪti/	稀缺性
law of scarcity	/lɔː əv ˈskɛərsɪti/	稀缺法则
second-degree price discrimination	/ˈsɛkənd dɪˈɡriː praɪs dɪˌskrɪmɪˈneɪʃən/	二级价格歧视
second derivative	/ˈsɛkənd dɪˈrɪvətɪv/	二阶导数
second-order condition	/ˈsɛkənd ˈɔːrdər kənˈdɪʃən/	二阶条件
service	/ˈsɜːrvɪs/	劳务
set	/sɛt/	集
shadow prices	/ˈʃædoʊ ˈpraɪsɪz/	影子价格
short-run	/ʃɔːrt rʌn/	短期
short-run cost curve	/ʃɔːrt rʌn kɒst kɜːrv/	短期成本曲线
short-run equilibrium	/ʃɔːrt rʌn ˌiːkwɪˈlɪbriəm/	短期均衡
short-run supply curve	/ʃɔːrt rʌn səˈplaɪ kɜːrv/	短期供给曲线
shut down decision	/ʃʌt daʊn dɪˈsɪʒən/	关闭决策
shortage	/ˈʃɔːrtɪdʒ/	短缺
shut down point	/ʃʌt daʊn pɔɪnt/	关闭点
single price monopoly	/ˈsɪŋɡəl praɪs məˈnɒpəli/	单一定价垄断
slope	/sloʊp/	斜率
social benefit	/ˈsoʊʃəl ˈbɛnɪfɪt/	社会收益
social cost	/ˈsoʊʃəl kɒst/	社会成本
social indifference curve	/ˈsoʊʃəl ɪnˈdɪfərəns kɜːrv/	社会无差异曲线
social preference	/ˈsoʊʃəl ˈprɛfərəns/	社会偏好
social security	/ˈsoʊʃəl sɪˈkjʊərɪti/	社会保障
social welfare function	/ˈsoʊʃəl ˈwɛlfɛər ˈfʌŋkʃən/	社会福利函数
socialism	/ˈsoʊʃəlɪzəm/	社会主义
solution	/səˈluːʃən/	解
space	/speɪs/	空间
stability	/stəˈbɪlɪti/	稳定性
stable equilibrium	/ˈsteɪbəl ˌiːkwɪˈlɪbriəm/	稳定的均衡
Stackelberg model	/ˈstækəlbɜːrɡ ˈmɒdəl/	斯塔克尔贝格模型
static analysis	/ˈstætɪk əˈnæləsɪs/	静态分析
stock	/stɒk/	存量
stock market	/stɒk ˈmɑːrkɪt/	股票市场
strategy	/ˈstrætədʒi/	策略
subsidy	/ˈsʌbsɪdi/	津贴
substitutes	/ˈsʌbstɪtjuːts/	替代品
substitution effect	/ˌsʌbstɪˈtjuːʃən ɪˈfɛkt/	替代效应
substitution parameter	/ˌsʌbstɪˈtjuːʃən pəˈræmɪtər/	替代参数
sufficient condition	/səˈfɪʃənt kənˈdɪʃən/	充分条件
supply	/səˈplaɪ/	供给
supply curve	/səˈplaɪ kɜːrv/	供给曲线
supply function	/səˈplaɪ ˈfʌŋkʃən/	供给函数
supply schedule	/səˈplaɪ ˈʃɛdjuːl/	供给表
Sweezy model	/ˈswiːzi ˈmɒdəl/	斯威齐模型
symmetry	/ˈsɪmɪtri/	对称性
symmetry of information	/ˈsɪmɪtri əv ˌɪnfərˈmeɪʃən/	信息对称
tangency	/ˈtændʒənsi/	相切
taste	/teɪst/	兴致
technical efficiency	/ˈtɛknɪkəl ɪˈfɪʃənsi/	技术效率
technological constraints	/ˌtɛknəˈlɒdʒɪkəl kənˈstreɪnts/	技术约束
technological progress	/ˌtɛknəˈlɒdʒɪkəl ˈprɒɡrɛs/	技术进步
technology	/tɛkˈnɒlədʒi/	技术
third-degree price discrimination	/θɜːrd dɪˈɡriː praɪs dɪˌskrɪmɪˈneɪʃən/	第三级价格歧视
total cost	/ˈtoʊtəl kɒst/	总成本
total effect	/ˈtoʊtəl ɪˈfɛkt/	总效应
total expenditure	/ˈtoʊtəl ɪkˈspɛndɪtʃər/	总支出
total fixed cost	/ˈtoʊtəl fɪkst kɒst/	总固定成本
total product	/ˈtoʊtəl ˈprɒdʌkt/	总产量
total revenue	/ˈtoʊtəl ˈrɛvənjuː/	总收益
total utility	/ˈtoʊtəl juːˈtɪlɪti/	总效用
total variable cost	/ˈtoʊtəl ˈvɛəriəbəl kɒst/	总可变成本
traditional economy	/trəˈdɪʃənəl ɪˈkɒnəmi/	传统经济
transitivity	/ˌtrænsɪˈtɪvɪti/	传递性
transaction cost	/trænˈzækʃən kɒst/	交易费用
uncertainty	/ʌnˈsɜːrtənti/	不确定性
uniqueness	/juˈniːknəs/	唯一性
unit elasticity	/ˈjuːnɪt ˌiːlæsˈtɪsɪti/	单位弹性
unstable equilibrium	/ʌnˈsteɪbəl ˌiːkwɪˈlɪbriəm/	不稳定均衡
utility	/juːˈtɪlɪti/	效用
utility function	/juːˈtɪlɪti ˈfʌŋkʃən/	效用函数
utility index	/juːˈtɪlɪti ˈɪndɛks/	效用指数
utility maximization	/juːˈtɪlɪti ˌmæksɪmaɪˈzeɪʃən/	效用极大化
utility possibility curve	/juːˈtɪlɪti ˌpɒsɪˈbɪlɪti kɜːrv/	效用可能性曲线
utility possibility frontier	/juːˈtɪlɪti ˌpɒsɪˈbɪlɪti frʌnˈtɪər/	效用可能性前沿
value	/ˈvæljuː/	价值
value judge	/ˈvæljuː dʒʌdʒ/	价值判断
value of marginal product	/ˈvæljuː əv ˈmɑːrdʒɪnəl ˈprɒdʌkt/	边际产量价值
variable cost	/ˈvɛəriəbəl kɒst/	可变成本
variable input	/ˈvɛəriəbəl ˈɪnpʊt/	可变投入
variables	/ˈvɛəriəbəlz/	变量
vector	/ˈvɛktər/	向量
visible hand	/ˈvɪzəbəl hænd/	看得见的手
vulgar economics	/ˈvʌlɡər ˌiːkəˈnɒmɪks/	庸俗经济学
wage	/weɪdʒ/	工资
wage rate	/weɪdʒ reɪt/	工资率
Walras general equilibrium	/ˈwɑːlrɑːs ˈdʒɛnərəl ˌiːkwɪˈlɪbriəm/	瓦尔拉斯总体均衡
Walras's law	/ˈwɑːlrɑːsz lɔː/	瓦尔拉斯法则
wants	/wɒnts/	需要
welfare criterion	/ˈwɛlfɛər kraɪˈtɪəriən/	福利标准
welfare economics	/ˈwɛlfɛər ˌiːkəˈnɒmɪks/	福利经济学
welfare loss triangle	/ˈwɛlfɛər lɒs ˈtraɪæŋɡəl/	福利损失三角形
welfare maximization	/ˈwɛlfɛər ˌmæksɪmaɪˈzeɪʃən/	福利极大化
zero cost	/ˈzɪəroʊ kɒst/	零成本
zero elasticity	/ˈzɪəroʊ ˌiːlæsˈtɪsɪti/	零弹性
zero homogeneity	/ˈzɪəroʊ ˌhoʊmoʊdʒəˈniːɪti/	零阶齐次性
zero economic profit	/ˈzɪəroʊ ˌiːkəˈnɒmɪk ˈprɒfɪt/	零利润
economist	/ɪˈkɒnəmɪst/	经济学家
socialist economy	/ˈsoʊʃəlɪst ɪˈkɒnəmi/	社会主义经济
capitalist economy	/ˈkæpɪtəlɪst ɪˈkɒnəmi/	资本主义经济
collective economy	/kəˈlɛktɪv ɪˈkɒnəmi/	集体经济
planned economy	/plænd ɪˈkɒnəmi/	计划经济
controlled economy	/kənˈtroʊld ɪˈkɒnəmi/	管制经济
rural economics	/ˈrʊərəl ˌiːkəˈnɒmɪks/	农村经济
liberal economy	/ˈlɪbərəl ɪˈkɒnəmi/	自由经济
mixed economy	/mɪkst ɪˈkɒnəmi/	混合经济
political economy	/pəˈlɪtɪkəl ɪˈkɒnəmi/	政治经济学
protectionism	/prəˈtɛkʃənɪzəm/	保护主义
autarchy	/ˈɔːtɑːrki/	闭关自守
primary sector	/ˈpraɪməri ˈsɛktər/	初级成分
private sector	/ˈpraɪvɪt ˈsɛktər/	私营成分, 私营部门
public sector	/ˈpʌblɪk ˈsɛktər/	公共部门, 公共成分
economic channels	/ˌiːkəˈnɒmɪk ˈtʃænəlz/	经济渠道
economic balance	/ˌiːkəˈnɒmɪk ˈbæləns/	经济平衡
economic fluctuation	/ˌiːkəˈnɒmɪk ˌflʌktʃuˈeɪʃən/	经济波动
economic depression	/ˌiːkəˈnɒmɪk dɪˈprɛʃən/	经济衰退
economic stability	/ˌiːkəˈnɒmɪk stəˈbɪlɪti/	经济稳定
economic policy	/ˌiːkəˈnɒmɪk ˈpɒlɪsi/	经济政策
economic recovery	/ˌiːkəˈnɒmɪk rɪˈkʌvəri/	经济复原
understanding	/ˌʌndərˈstændɪŋ/	约定
concentration	/ˌkɒnsənˈtreɪʃən/	集中
holding company	/ˈhoʊldɪŋ ˈkʌmpəni/	控股公司
trust	/trʌst/	托拉斯
rate of growth	/reɪt əv ɡroʊθ/	增长
economic trend	/ˌiːkəˈnɒmɪk trɛnd/	经济趋势
economic situation	/ˌiːkəˈnɒmɪk ˌsɪtʃuˈeɪʃən/	经济形势
infrastructure	/ˈɪnfrəˌstrʌktʃər/	基本建设
standard of living	/ˈstændərd əv ˈlɪvɪŋ/	生活标准, 生活水平
purchasing power, buying power	/ˈpɜːrtʃəsɪŋ ˈpaʊər, ˈbaɪɪŋ ˈpaʊər/	购买力
stagnation	/stæɡˈneɪʃən/	停滞, 萧条, 不景气
underdevelopment	/ˌʌndərdɪˈvɛləpmənt/	不发达
underdeveloped	/ˌʌndərdɪˈvɛləpt/	不发达的
developing	/dɪˈvɛləpɪŋ/	发展中的
initial capital	/ɪˈnɪʃəl ˈkæpɪtəl/	创办资本
frozen capital	/ˈfroʊzən ˈkæpɪtəl/	冻结资金
frozen assets	/ˈfroʊzən ˈæsɛts/	冻结资产
fixed assets	/fɪkst ˈæsɛts/	固定资产
real estate	/riːl ɪˈsteɪt/	不动产, 房地产
circulating capital, working capital	/ˈsɜːrkjʊleɪtɪŋ ˈkæpɪtəl, ˈwɜːrkɪŋ ˈkæpɪtəl/	流动资本
available capital	/əˈveɪləbəl ˈkæpɪtəl/	可用资产
capital goods	/ˈkæpɪtəl ɡʊdz/	资本货物
reserve	/rɪˈzɜːrv/	准备金, 储备金
calling up of capital	/ˈkɔːlɪŋ ʌp əv ˈkæpɪtəl/	催缴资本
allocation of funds	/ˌæləˈkeɪʃən əv fʌndz/	资金分配
contribution of funds	/ˌkɒntrɪˈbjuːʃən əv fʌndz/	资金捐献
working capital fund	/ˈwɜːrkɪŋ ˈkæpɪtəl fʌnd/	周转基金
revolving fund	/rɪˈvɒlvɪŋ fʌnd/	循环基金, 周转性基金
contingency fund	/kənˈtɪndʒənsi fʌnd/	意外开支, 准备金
reserve fund	/rɪˈzɜːrv fʌnd/	准备金
buffer fund	/ˈbʌfər fʌnd/	缓冲基金, 平准基金
sinking fund	/ˈsɪŋkɪŋ fʌnd/	偿债基金
investment	/ɪnˈvɛstmənt/	投资, 资产
investor	/ɪnˈvɛstər/	投资人
self-financing	/sɛlf faɪˈnænsɪŋ/	自筹经费, 经费自给
bank	/bæŋk/	银行
current account	/ˈkɜːrənt əˈkaʊnt/	经常帐户 (美作:checking account)
current-account holder	/ˈkɜːrənt əˈkaʊnt ˈhoʊldər/	支票帐户 (美作:checking-account holder)
cheque	/tʃɛk/	支票 (美作:check)
bearer cheque, cheque payable to bearer	/ˈbɛərər tʃɛk, tʃɛk ˈpeɪəbəl tu ˈbɛərər/	无记名支票, 来人支票
crossed cheque	/krɒst tʃɛk/	划线支票
traveller's cheque	/ˈtrævələrz tʃɛk/	旅行支票
chequebook	/ˈtʃɛkbʊk/	支票簿, 支票本 (美作:checkbook)
endorsement	/ɪnˈdɔːrsmənt/	背书
transfer	/trænsˈfɜːr/	转让, 转帐, 过户
money	/ˈmʌni/	货币
issue	/ˈɪʃuː/	发行
ready money	/ˈrɛdi ˈmʌni/	现钱
cash	/kæʃ/	现金
ready money business, no credit given	/ˈrɛdi ˈmʌni ˈbɪznəs, noʊ ˈkrɛdɪt ˈɡɪvən/	现金交易, 概不赊欠
change	/tʃeɪndʒ/	零钱
banknote, note	/ˈbæŋknoʊt, noʊt/	钞票, 纸币 (美作:bill)
to pay (in) cash	/tu peɪ (ɪn) kæʃ/	付现金
domestic currency, local currency	/dəˈmɛstɪk ˈkɜːrənsi, ˈloʊkəl ˈkɜːrənsi/	本国货币
convertibility	/kənˌvɜːrtɪˈbɪlɪti/	可兑换性
convertible currencies	/kənˈvɜːrtɪbəl ˈkɜːrənsiz/	可自由兑换货币
exchange rate	/ɪksˈtʃeɪndʒ reɪt/	汇率, 兑换率
foreign exchange	/ˈfɒrɪn ɪksˈtʃeɪndʒ/	外汇
floating exchange rate	/ˈfloʊtɪŋ ɪksˈtʃeɪndʒ reɪt/	浮动汇率
free exchange rates	/friː ɪksˈtʃeɪndʒ reɪts/	自由汇兑市场
foreign exchange certificate	/ˈfɒrɪn ɪksˈtʃeɪndʒ sərˈtɪfɪkət/	外汇兑换券
hard currency	/hɑːrd ˈkɜːrənsi/	硬通货
speculation	/ˌspɛkjʊˈleɪʃən/	投机
saving	/ˈseɪvɪŋ/	储蓄, 存款
depreciation	/dɪˌpriːʃiˈeɪʃən/	减价, 贬值
devaluation	/diːˌvæljuˈeɪʃən/	(货币)贬值
revaluation	/riːˌvæljuˈeɪʃən/	重估价
runaway inflation	/ˈrʌnəweɪ ɪnˈfleɪʃən/	无法控制的通货膨胀
deflation	/dɪˈfleɪʃən/	通货紧缩
capital flight	/ˈkæpɪtəl flaɪt/	资本外逃
securities business	/sɪˈkjʊərɪtiz ˈbɪznəs/	证券市场
corporation	/ˌkɔːrpəˈreɪʃən/	公司
stock exchange	/stɒk ɪksˈtʃeɪndʒ/	证券交易所, 股票交易所
quotation	/kwoʊˈteɪʃən/	报价, 牌价
share	/ʃɛər/	股份, 股票
shareholder, stockholder	/ˈʃɛərˌhoʊldər, ˈstɒkˌhoʊldər/	股票持有人, 股东
dividend	/ˈdɪvɪdɛnd/	股息, 红利
cash dividend	/kæʃ ˈdɪvɪdɛnd/	现金配股
stock investment	/stɒk ɪnˈvɛstmənt/	股票投资
investment trust	/ɪnˈvɛstmənt trʌst/	投资信托
stock-jobber	/stɒk ˈdʒɒbər/	股票经纪人
stock company, stock brokerage firm	/stɒk ˈkʌmpəni, stɒk ˈbroʊkərɪdʒ fɜːrm/	证券公司
securities	/sɪˈkjʊərɪtiz/	有价证券
share, common stock	/ʃɛər, ˈkɒmən stɒk/	普通股
preference stock	/ˈprɛfərəns stɒk/	优先股
income gain	/ˈɪnkʌm ɡeɪn/	股利收入
issue	/ˈɪʃuː/	发行股票
par value	/pɑːr ˈvæljuː/	股票价格, 票面价格
bull	/bʊl/	买手, 多头
bear	/bɛər/	卖手, 空头
assigned	/əˈsaɪnd/	过户
opening price	/ˈoʊpənɪŋ praɪs/	开盘
closing price	/ˈkloʊzɪŋ praɪs/	收盘
hard times	/hɑːrd taɪmz/	低潮
business recession	/ˈbɪznəs rɪˈsɛʃən/	景气衰退
doldrums	/ˈdoʊldrəmz/	景气停滞
dull	/dʌl/	盘整
ease	/iːz/	松弛
raising limit	/ˈreɪzɪŋ ˈlɪmɪt/	涨停板
break	/breɪk/	暴跌
bond, debenture	/bɒnd, dɪˈbɛntʃər/	债券
Wall Street	/wɔːl striːt/	华尔街
short term loan	/ʃɔːrt tɜːrm loʊn/	短期贷款
long term loan	/lɒŋ tɜːrm loʊn/	长期贷款
medium term loan	/ˈmiːdiəm tɜːrm loʊn/	中期贷款
lender	/ˈlɛndər/	债权人
creditor	/ˈkrɛdɪtər/	债权人
debtor	/ˈdɛtər/	债务人, 借方
borrower	/ˈbɒroʊər/	借方, 借款人
borrowing	/ˈbɒroʊɪŋ/	借款
interest	/ˈɪntrəst/	利息
rate of interest	/reɪt əv ˈɪntrəst/	利率
discount	/ˈdɪskaʊnt/	贴现, 折扣
rediscount	/ˌriːˈdɪskaʊnt/	再贴现
annuity	/əˈnjuːɪti/	年金
maturity	/məˈtʃʊərɪti/	到期日, 偿还日
amortization	/əˌmɔːrtɪˈzeɪʃən/	摊销, 摊还, 分期偿付
redemption	/rɪˈdɛmpʃən/	偿还
insurance	/ɪnˈʃʊərəns/	保险
mortgage	/ˈmɔːrɡɪdʒ/	抵押
allotment	/əˈlɒtmənt/	拨款
short term credit	/ʃɔːrt tɜːrm ˈkrɛdɪt/	短期信贷
consolidated debt	/kənˈsɒlɪdeɪtɪd dɛt/	合并债务
funded debt	/ˈfʌndɪd dɛt/	固定债务, 长期债务
floating debt	/ˈfloʊtɪŋ dɛt/	流动债务
drawing	/ˈdrɔːɪŋ/	提款, 提存
aid	/eɪd/	援助
allowance, grant, subsidy	/əˈlaʊəns, ɡrænt, ˈsʌbsɪdi/	补贴, 补助金, 津贴
output	/ˈaʊtpʊt/	产出, 产量
producer	/prəˈduːsər/	生产者, 制造者
productive, producing	/prəˈdʌktɪv, prəˈduːsɪŋ/	生产的
products, goods	/ˈprɒdʌkts, ɡʊdz/	产品
consumer goods	/kənˈsuːmər ɡʊdz/	消费品
article	/ˈɑːrtɪkəl/	物品, 商品
manufactured goods, finished goods	/ˌmænjʊˈfæktʃərd ɡʊdz, ˈfɪnɪʃt ɡʊdz/	制成品, 产成品
raw product	/rɔː ˈprɒdʌkt/	初级产品
semifinished goods	/ˌsɛmiˈfɪnɪʃt ɡʊdz/	半成品
by-product	/baɪ ˈprɒdʌkt/	副产品
foodstuffs	/ˈfuːdstʌfs/	食品
raw material	/rɔː məˈtɪəriəl/	原料
supply	/səˈplaɪ/	供应, 补给
input	/ˈɪnpʊt/	投入
productivity	/ˌproʊdʌkˈtɪvɪti/	生产率
productiveness	/prəˈdʌktɪvnəs/	赢利性
overproduction	/ˌoʊvərprəˈdʌkʃən/	生产过剩
cost	/kɒst/	成本, 费用
expenditure, outgoings	/ɪkˈspɛndɪtʃər, ˈaʊtɡoʊɪŋz/	开支, 支出
fixed costs	/fɪkst kɒsts/	固定成本
overhead costs	/ˈoʊvərhɛd kɒsts/	营业间接成本
overheads	/ˈoʊvərhɛdz/	杂项开支, 间接成本
operating costs	/ˈɒpəreɪtɪŋ kɒsts/	生产费用, 营业成本
operating expenses	/ˈɒpəreɪtɪŋ ɪkˈspɛnsɪz/	营业费用
running expenses	/ˈrʌnɪŋ ɪkˈspɛnsɪz/	日常费用, 经营费用
miscellaneous costs	/ˌmɪsəˈleɪniəs kɒsts/	杂项费用
overhead expenses	/ˈoʊvərhɛd ɪkˈspɛnsɪz/	间接费用, 管理费用
upkeep costs, maintenance costs	/ˈʌpkiːp kɒsts, ˈmeɪntənəns kɒsts/	维修费用, 养护费用
transport costs	/ˈtrænspɔːrt kɒsts/	运输费用
social charges	/ˈsoʊʃəl ˈtʃɑːrdʒɪz/	社会负担费用
contingent expenses, contingencies	/kənˈtɪndʒənt ɪkˈspɛnsɪz, kənˈtɪndʒənsiz/	或有费用
apportionment of expenses	/əˈpɔːrʃənmənt əv ɪkˈspɛnsɪz/	分摊费用
income	/ˈɪnkʌm/	收入, 收益
earnings	/ˈɜːrnɪŋz/	利润, 收益
gross income, gross earnings	/ɡroʊs ˈɪnkʌm, ɡroʊs ˈɜːrnɪŋz/	总收入, 总收益
gross profit, gross benefit	/ɡroʊs ˈprɒfɪt, ɡroʊs ˈbɛnɪfɪt/	毛利, 总利润, 利益毛额
net income	/nɛt ˈɪnkʌm/	纯收益, 净收入, 收益净额
average income	/ˈævərɪdʒ ˈɪnkʌm/	平均收入
national income	/ˈnæʃənəl ˈɪnkʌm/	国民收入
profitability, profit earning capacity	/ˌprɒfɪtəˈbɪlɪti, ˈprɒfɪt ˈɜːrnɪŋ kəˈpæsɪti/	利润率, 赢利率
yield	/jiːld/	产量, 收益, 收益率
increase in value, appreciation	/ɪnˈkriːs ɪn ˈvæljuː, əˌpriːʃiˈeɪʃən/	增值, 升值
taxes	/ˈtæksɪz/	税
duty	/ˈdjuːti/	税
taxation system	/tækˈseɪʃən ˈsɪstəm/	税制
taxation	/tækˈseɪʃən/	征税, 纳税
fiscal charges	/ˈfɪskəl ˈtʃɑːrdʒɪz/	财务税收
progressive taxation	/prəˈɡrɛsɪv tækˈseɪʃən/	累进税制
graduated tax	/ˈɡrædʒueɪtɪd tæks/	累进税
value added tax	/ˈvæljuː ˈædɪd tæks/	增值税
income tax	/ˈɪnkʌm tæks/	所得税
land tax	/lænd tæks/	地租, 地价税
excise tax	/ˈɛksaɪz tæks/	特许权税
assessment	/əˈsɛsmənt/	估税标准
taxable income	/ˈtæksəbəl ˈɪnkʌm/	须纳税的收入
fiscality	/fɪsˈkælɪti/	检查
tax-free	/tæks friː/	免税的
tax exemption	/tæks ɪɡˈzɛmpʃən/	免税
taxpayer	/ˈtæksˌpeɪər/	纳税人
tax collector	/tæks kəˈlɛktər/	收税员
China Council for the Promotion of International Trade, C.C.P.I.T.	/ˈtʃaɪnə ˈkaʊnsəl fɔːr ðə prəˈmoʊʃən əv ˌɪntərˈnæʃənəl treɪd, si-si-pi-aɪ-ti/	中国国际贸易促进委员会
National Council for US-China Trade	/ˈnæʃənəl ˈkaʊnsəl fɔːr ju-ɛs-ˈtʃaɪnə treɪd/	美中贸易全国理事会
Japan-China Economic Association	/dʒəˈpæn-ˈtʃaɪnə ˌiːkəˈnɒmɪk əˌsoʊsiˈeɪʃən/	日中经济协会
Association for the Promotion of International Trade, Japan	/əˌsoʊsiˈeɪʃən fɔːr ðə prəˈmoʊʃən əv ˌɪntərˈnæʃənəl treɪd, dʒəˈpæn/	日本国际贸易促进会
